lat,lon,hae,timestamp
51.5772666667,-1.31025,0.0,2026-01-29T14:57:56.345Z
51.5773833333,-1.3103166667,0.0,2026-01-29T14:57:57.345Z
51.5775166667,-1.3104,0.0,2026-01-29T14:57:58.345Z
51.5776666667,-1.3105,0.0,2026-01-29T14:57:59.345Z
51.5778333333,-1.3106166667,0.0,2026-01-29T14:58:00.345Z
51.5777833333,-1.3107833333,0.0,2026-01-29T14:58:01.345Z
51.5777333333,-1.3109666667,0.0,2026-01-29T14:58:02.345Z
51.5776666667,-1.31125,0.0,2026-01-29T14:58:03.345Z
51.5776,-1.31155,0.0,2026-01-29T14:58:04.345Z
51.57755,-1.3117333333,0.0,2026-01-29T14:58:05.345Z
51.5775,-1.31175,0.0,2026-01-29T14:58:06.345Z
51.5774833333,-1.3117833333,0.0,2026-01-29T14:58:07.345Z
51.5774333333,-1.31175,0.0,2026-01-29T14:58:08.345Z
51.5773833333,-1.3117166667,0.0,2026-01-29T14:58:09.345Z
51.5773166667,-1.3116833333,0.0,2026-01-29T14:58:10.345Z
51.5772166667,-1.3116166667,0.0,2026-01-29T14:58:11.345Z
51.57715,-1.3115666667,0.0,2026-01-29T14:58:12.345Z
51.5771833333,-1.3114166667,0.0,2026-01-29T14:58:13.345Z
51.5772166667,-1.3112666667,0.0,2026-01-29T14:58:14.345Z
51.5772666667,-1.31105,0.0,2026-01-29T14:58:15.345Z
51.5773166667,-1.31085,0.0,2026-01-29T14:58:16.345Z
51.5773,-1.3107666667,0.0,2026-01-29T14:58:17.345Z
51.5772166667,-1.3107166667,0.0,2026-01-29T14:58:18.345Z
51.5771,-1.3106333333,0.0,2026-01-29T14:58:19.345Z
51.57705,-1.3106,0.0,2026-01-29T14:58:20.345Z
51.5770833333,-1.3104666667,0.0,2026-01-29T14:58:21.345Z
51.5771166667,-1.3103166667,0.0,2026-01-29T14:58:22.345Z
51.5771333333,-1.3102833333,0.0,2026-01-29T14:58:23.345Z
51.5770833333,-1.3102333333,0.0,2026-01-29T14:58:24.345Z
